Year,Winter,Spring,Summer,Fall
1973,-99.99,2579.18,1498.73,1951.18
1974,3628.97,2489.05,1495.99,1884.21
1975,3627.84,2726.49,1488.86,1774.54
1976,3816.05,2423.96,1518.60,2047.49
1977,4374.53,2304.37,1513.11,1858.53
1978,3953.53,2600.49,1544.55,1922.16
1979,4000.89,2474.05,1440.79,1776.35
1980,3471.58,2368.02,1427.07,1784.27
1981,3629.90,2093.52,1373.33,1718.97
1982,3536.30,2290.66,1335.45,1659.21
1983,3285.20,2252.59,1387.82,1579.67
1984,3438.48,2346.90,1401.25,1597.51
1985,3465.04,2145.44,1414.45,1654.83
1986,3505.12,2184.09,1467.53,1689.36
1987,3348.40,2238.92,1534.29,1793.17
1988,3625.51,2322.79,1581.73,1859.81
1989,3509.65,2432.66,1577.12,1899.69
1990,3605.87,2231.15,1581.31,1835.83
1991,3474.39,2230.56,1615.04,1938.16
1992,3500.18,2322.37,1557.37,1931.95
1993,3725.23,2530.14,1703.95,1992.66
1994,3981.27,2371.95,1673.96,1870.41
1995,3631.23,2398.42,1727.06,2033.93
1996,4108.81,2661.36,1747.47,2123.97
1997,3949.95,2484.42,1758.01,2113.72
1998,3708.79,2476.37,1869.42,1981.55
1999,3729.12,2550.28,1894.37,2020.56
2000,3889.10,2391.90,1913.38,2188.35
2001,4405.76,-99.99,-99.99,-99.99
