Year,Winter,Spring,Summer,Fall
1973,49.15,37.83,46.96,18.93
1974,35.99,44.98,17.01,40.85
1975,31.74,98.74,31.73,9.23
1976,33.83,33.10,3.760,95.84
1977,95.26,19.15,58.21,37.87
1978,92.63,75.14,42.79,45.20
1979,96.25,49.19,13.08,37.34
1980,43.05,68.56,87.63,65.01
1981,46.63,40.72,56.28,41.88
1982,71.35,71.24,25.72,30.27
1983,18.70,69.04,71.86,27.48
1984,64.55,89.29,42.77,41.41
1985,56.81,21.87,30.92,28.93
1986,49.60,19.82,51.02,47.29
1987,37.11,31.99,59.49,43.67
1988,53.77,44.56,77.24,53.99
1989,41.69,56.50,27.39,33.42
1990,41.59,37.63,46.50,11.80
1991,28.38,33.61,59.44,45.98
1992,13.18,47.68,0.00,56.66
1993,47.58,63.30,65.42,60.37
1994,65.07,40.36,52.24,18.77
1995,22.50,54.37,74.40,51.28
1996,52.56,89.61,36.39,62.97
1997,28.51,64.35,23.27,57.31
1998,6.08,43.59,81.96,26.02
1999,11.13,55.24,71.83,1.87
2000,17.88,26.17,38.50,52.13
2001,65.14,51.86,-99.99,-99.99
